N,lam,g,replica,class_id,S,X,A,p_interchangeable,p_named,f_interchangeable_chain,f_named_chain,f_named_reweighted
18,0.0,10.0,0,15,21,14,1,0.10325299598796796,0.22655806965511394,0.1056,0.21475,0.09713019290350301
18,0.0,10.0,0,16,19,8,2,0.004208819683838979,0.004617503124113329,0.00375,0.00515,0.004658630905266967
18,0.0,10.0,0,17,21,13,2,0.10325299598796796,0.11327903482755697,0.1035,0.11135,0.10072593229154889
18,0.0,10.0,0,18,21,12,2,0.10325299598796796,0.11327903482755697,0.1023,0.11575,0.10470612180284494
18,0.0,10.0,0,19,19,9,2,0.004208819683838979,0.004617503124113329,0.0042,0.0042,0.0037992718062371377
18,0.0,10.0,0,20,20,11,1,0.020846420362486857,0.04574128538695811,0.024,0.04765,0.02155182161514281
18,0.0,10.0,0,21,20,12,2,0.020846420362486857,0.022870642693479055,0.02365,0.02385,0.021574436328275177
18,0.0,10.0,0,22,20,12,4,0.020846420362486857,0.011435321346739528,0.0252,0.01155,0.020895994934304257
18,0.0,10.0,0,23,22,16,4,0.5114154370443441,0.2805373662525366,0.4963,0.28785,0.5207716140120763
18,0.0,10.0,0,24,18,8,4,0.000849746039034456,0.00046612890129396194,0.00035,0.00055,0.0009950473778240123
18,0.0,10.0,0,25,18,9,9,0.000849746039034456,0.00020716840057509418,0.00125,0.00045,0.001831791763721477
18,0.0,10.0,1,0,18,0,18,0.000849746039034456,0.00010358420028754709,0.0001,0.0001,0.00081656724204414
18,0.0,10.0,1,1,18,4,2,0.000849746039034456,0.0009322578025879239,0.00045,0.00055,0.0004990133145825299
18,0.0,10.0,1,2,18,0,12,0.000849746039034456,0.00015537630043132065,0.00035,0.00025,0.0013609454034068998
18,0.0,10.0,1,3,18,2,4,0.000849746039034456,0.00046612890129396194,0.00045,0.0007,0.0012702157098464398
18,0.0,10.0,1,4,18,0,72,0.000849746039034456,2.5896050071886772e-05,0.0,5e-05,0.00163313448408828
18,0.0,10.0,1,5,18,4,8,0.000849746039034456,0.00023306445064698097,0.00065,0.0,0.0
18,0.0,10.0,1,6,18,6,6,0.000849746039034456,0.0003107526008626413,0.00125,0.0002,0.0005443781613627599
18,0.0,10.0,1,7,19,8,1,0.004208819683838979,0.009235006248226658,0.00465,0.0089,0.0040374713634404695
18,0.0,10.0,1,8,19,10,1,0.004208819683838979,0.009235006248226658,0.0046,0.01065,0.004831356182094494
18,0.0,10.0,1,9,19,9,1,0.004208819683838979,0.009235006248226658,0.0041,0.0092,0.004173565903781159
18,0.0,10.0,1,10,20,11,1,0.020846420362486857,0.04574128538695811,0.02065,0.0433,0.019642978655839586
18,0.0,10.0,1,11,20,10,1,0.020846420362486857,0.04574128538695811,0.02185,0.0483,0.02191122099485109
18,0.0,10.0,1,12,19,7,1,0.004208819683838979,0.009235006248226658,0.00455,0.0092,0.004173565903781159
18,0.0,10.0,1,13,20,10,2,0.020846420362486857,0.022870642693479055,0.0171,0.0224,0.020323451357543036
18,0.0,10.0,1,14,20,10,2,0.020846420362486857,0.022870642693479055,0.0234,0.0219,0.01986980288974074
18,0.0,10.0,1,15,21,14,1,0.10325299598796796,0.22655806965511394,0.10475,0.22405,0.1016399392111053
18,0.0,10.0,1,16,19,8,2,0.004208819683838979,0.004617503124113329,0.00545,0.00525,0.00476330891192415
18,0.0,10.0,1,17,21,13,2,0.10325299598796796,0.11327903482755697,0.1002,0.1136,0.10306893188468255
18,0.0,10.0,1,18,21,12,2,0.10325299598796796,0.11327903482755697,0.10495,0.1165,0.1057000929979359
18,0.0,10.0,1,19,19,9,2,0.004208819683838979,0.004617503124113329,0.0042,0.00485,0.00440039013768231
18,0.0,10.0,1,20,20,11,1,0.020846420362486857,0.04574128538695811,0.021,0.04345,0.019711025926009935
18,0.0,10.0,1,21,20,12,2,0.020846420362486857,0.022870642693479055,0.0224,0.02105,0.019098600494476828
18,0.0,10.0,1,22,20,12,4,0.020846420362486857,0.011435321346739528,0.01785,0.01205,0.021865856148070857
18,0.0,10.0,1,23,22,16,4,0.5114154370443441,0.2805373662525366,0.51375,0.2831,0.5137115249393245
18,0.0,10.0,1,24,18,8,4,0.000849746039034456,0.00046612890129396194,0.0006,0.0003,0.0005443781613627598
18,0.0,10.0,1,25,18,9,9,0.000849746039034456,0.00020716840057509418,0.0007,0.0001,0.00040828362102207
18,0.0,10.0,2,0,18,0,18,0.000849746039034456,0.00010358420028754709,0.0004,0.0001,0.0008215426745778186
18,0.0,10.0,2,1,18,4,2,0.000849746039034456,0.0009322578025879239,0.00095,0.0007,0.0006389776357827477
18,0.0,10.0,2,2,18,0,12,0.000849746039034456,0.00015537630043132065,0.0007,5e-05,0.0002738475581926062
18,0.0,10.0,2,3,18,2,4,0.000849746039034456,0.00046612890129396194,0.0004,0.0004,0.0007302601551802832
18,0.0,10.0,2,4,18,0,72,0.000849746039034456,2.5896050071886772e-05,0.0002,5e-05,0.0016430853491556372
18,0.0,10.0,2,5,18,4,8,0.000849746039034456,0.00023306445064698097,0.00055,0.0002,0.0007302601551802832
18,0.0,10.0,2,6,18,6,6,0.000849746039034456,0.0003107526008626413,0.00075,0.0002,0.0005476951163852124
