N,C,lam,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
96,96,1.25,1,3,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,8.194444444444445e-05,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,4,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,7.222222222222222e-05,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,5,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,0.0001125,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,6,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,8.4375e-05,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,7,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,0.00011076388888888888,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,8,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,9.166666666666667e-05,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,9,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,0.00012118055555555555,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,10,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,6.006944444444445e-05,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,11,0,12.0,1.0,1.0,1.125,0.0,0.0001015625,0,0,96,0,0,0,0,0,,0.0
96,96,1.25,1,12,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,4.340277777777778e-05,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,13,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,7.881944444444444e-05,0,4,92,0,0,0,0,1,4,14.0
96,96,1.25,1,14,0,12.0,0.958333333333333,1.0104166666666667,0.9791666666666666,0.0,0.00010972222222222222,0,4,92,0,0,0,0,1,4,14.0
